trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141148273,1,202307141148424,202307141148425,1,202307141148303,202307141148304,1689360522.4353914,1689360510.356011,1689360507.3502007
,202307141148476,2,202307141148486,202307141148486,2,202307141148486,202307141148487,1689360528.6061006,1689360528.6704967,1689360527.6027358
,202307141148538,3,202307141148578,202307141148578,2,,202307141148487,1689360537.8269527,1689360549.9083126,1689360533.8199239
,202307141149200,4,202307141149280,202307141149281,3,202307141149220,202307141149220,1689360568.0901234,1689360562.0184731,1689360560.013506
,202307141149332,5,202307141149342,202307141149343,4,202307141149343,202307141149343,1689360574.2665703,1689360574.3323216,1689360573.263182
,202307141149394,6,202307141149505,202307141149505,5,202307141149525,202307141149526,1689360590.5091245,1689360592.5772119,1689360579.4946308
,202307141149577,7,202307141150017,202307141150018,5,,202307141149526,1689360601.7447176,1689360613.827662,1689360597.737866
,202307141150239,8,202307141150320,202307141150320,6,202307141150269,202307141150270,1689360632.0127919,1689360626.9419324,1689360623.9362364
,202307141150371,8,,202307141150320,7,202307141150381,202307141150382,1689360653.259886,1689360638.173716,1689360637.1683345
,202307141150583,9,202307141151013,202307141151014,8,202307141151084,202307141151085,1689360661.3631213,1689360668.4357011,1689360658.3573267
,202307141151136,9,,202307141151014,9,202307141151286,202307141151286,1689360689.6928582,1689360688.6227171,1689360673.6033013
,202307141151347,10,202307141151357,202307141151358,10,202307141151488,202307141151489,1689360695.797994,1689360708.8774073,1689360694.793508
,202307141151540,11,202307141151550,202307141151551,10,,202307141151489,1689360715.0414743,1689360730.1245487,1689360714.0379097
,202307141152202,12,202307141152212,202307141152213,10,,202307141151489,1689360741.241061,1689360756.3246229,1689360740.2376497
,202307141152464,13,202307141152484,202307141152484,11,202307141152515,202307141152515,1689360768.4342752,1689360771.5024989,1689360766.4296067
,202307141152566,14,202307141152576,202307141152577,12,202307141153057,202307141153058,1689360777.665646,1689360785.7391095,1689360776.6621747
,202307141153108,14,,202307141152577,13,202307141153138,202307141153139,1689360806.9738286,1689360793.891336,1689360790.885543
,202307141153321,15,202307141153372,202307141153373,14,202307141153331,202307141153332,1689360817.2265868,1689360813.1580722,1689360812.1545854
,202307141153424,16,202307141153465,202307141153465,15,202307141153444,202307141153445,1689360826.5031416,1689360824.436886,1689360822.4323785
,202307141153516,17,202307141153557,202307141153558,16,202307141153526,202307141153527,1689360835.7508087,1689360832.6827545,1689360831.678773
,202307141154008,18,202307141154018,202307141154019,16,,202307141153527,1689360841.8888288,1689360856.9718566,1689360840.8851752
,202307141154271,19,202307141154292,202307141154292,17,202307141154281,202307141154282,1689360869.207274,1689360868.1406589,1689360867.1368244
,202307141154343,20,202307141154364,202307141154365,18,202307141154353,202307141154354,1689360876.4376528,1689360875.3724017,1689360874.369133
,202307141154416,21,202307141154426,202307141154426,19,202307141154496,202307141154497,1689360882.604101,1689360889.6768186,1689360881.6004875
,202307141154548,21,,202307141154426,20,202307141154578,202307141154578,1689360910.9163187,1689360897.833213,1689360894.8274844
,202307141155160,21,,202307141154426,21,202307141155220,202307141155220,1689360932.1131766,1689360922.0350401,1689360916.026046
,202307141155372,22,202307141155382,202307141155382,22,202307141155463,202307141155463,1689360938.2303827,1689360946.306947,1689360937.2253063
,202307141155514,23,202307141155575,202307141155575,23,202307141155524,202307141155525,1689360957.5363827,1689360952.4663239,1689360951.4629369
,202307141156027,24,202307141156077,202307141156078,24,202307141156037,202307141156037,1689360967.780107,1689360963.7078102,1689360962.7025466
,202307141156129,24,,202307141156078,25,202307141156159,202307141156160,1689360989.0428758,1689360975.9634757,1689360972.9579654
,202307141156341,25,202307141156422,202307141156423,26,202307141156351,202307141156352,1689361002.2437122,1689360995.168936,1689360994.1650414
,202307141156474,26,202307141156484,202307141156484,27,202307141156505,202307141156505,1689361008.4313443,1689361010.5006528,1689361007.4277332
,202307141156556,27,202307141156566,202307141156567,28,202307141157007,202307141157008,1689361016.6753483,1689361020.7442563,1689361015.6716208
,202307141157058,27,,202307141156567,29,202307141157068,202307141157069,1689361041.9754527,1689361026.8932364,1689361025.8900788
,202307141157270,28,202307141157301,202307141157302,30,202307141157280,202307141157281,1689361050.155007,1689361048.0882032,1689361047.0840185
,202307141157353,29,202307141157363,202307141157364,31,202307141157454,202307141157454,1689361056.3460987,1689361065.4200728,1689361055.3428967
,202307141157505,29,,202307141157364,32,202307141158016,202307141158016,1689361086.6769817,1689361081.6035023,1689361070.5883038
,202307141158117,29,,202307141157364,33,202307141158157,202307141158158,1689361107.8813603,1689361095.7968023,1689361091.7884216
,202307141158330,30,202307141158390,202307141158391,34,202307141158350,202307141158350,1689361119.0798109,1689361115.0072072,1689361113.0025823
,202307141158442,30,,202307141158391,35,202307141158452,202307141158453,1689361140.3254602,1689361125.2442603,1689361124.2408693
,202307141159054,30,,202307141158391,36,202307141159064,202307141159065,1689361161.5456173,1689361146.459148,1689361145.4557896
,202307141159266,30,,202307141158391,37,202307141159326,202307141159327,1689361182.756333,1689361172.678645,1689361166.6693807
,202307141159478,30,,202307141158391,38,202307141159528,202307141159530,1689361204.0593567,1689361192.8617747,1689361187.854609
,202307141200092,31,202307141200152,202307141200153,38,,202307141159530,1689361215.2890546,1689361225.3683815,1689361209.278213
,202307141200354,32,202307141200384,202307141200385,38,,202307141159530,1689361238.4963937,1689361251.5826283,1689361235.488928
,202307141201017,33,202307141201027,202307141201027,39,202307141201027,202307141201028,1689361262.7210848,1689361262.7879436,1689361261.7161603
,202307141201079,33,,202307141201027,40,202307141201089,202307141201090,1689361284.0400333,1689361268.9553282,1689361267.9518409
,202307141201291,34,202307141201301,202307141201302,41,202307141201302,202307141201303,1689361290.1683779,1689361290.234913,1689361289.1634493
,202307141201353,35,202307141201363,202307141201364,42,202307141201364,202307141201365,1689361296.3888743,1689361296.4523451,1689361295.3853667
,202307141201415,36,202307141201425,202307141201426,42,,202307141201365,1689361302.59807,1689361317.682281,1689361301.5932858
,202307141202077,37,202307141202088,202307141202088,43,202307141202168,202307141202169,1689361328.8010511,1689361336.8734128,1689361327.7977562
,202307141202220,38,202307141202230,202307141202231,43,,202307141202169,1689361343.0516896,1689361358.1369176,1689361342.048234
,202307141202482,38,,202307141202231,44,202307141202532,202307141202533,1689361384.348815,1689361373.2703497,1689361368.2617495
,202307141203095,38,,202307141202231,45,202307141203145,202307141203145,1689361405.588946,1689361394.5103524,1689361389.5024738
,202307141203307,39,202307141203317,202307141203317,46,202307141203317,202307141203318,1689361411.7161849,1689361411.7821717,1689361410.712566
,202307141203369,39,,202307141203317,46,,202307141203318,1689361432.951907,1689361432.9543295,1689361416.9292583
,202307141204080,39,,202307141203317,47,202307141204180,202307141204181,1689361464.1579046,1689361458.0843587,1689361448.071068
,202307141204292,40,202307141204302,202307141204303,48,202307141204303,202307141204304,1689361470.282281,1689361470.3491712,1689361469.2775464
,202307141204355,41,202307141204375,202307141204376,49,202307141204365,202307141204365,1689361477.5885806,1689361476.5228283,1689361475.5193074
,202307141204427,42,202307141204437,202307141204438,49,,202307141204365,1689361483.7527056,1689361498.8363504,1689361482.749173
,202307141205089,42,,202307141204438,49,,202307141204365,1689361524.9704418,1689361524.9719837,1689361508.948091
,202307141205401,42,,202307141204438,49,,202307141204365,1689361556.1466334,1689361556.1486108,1689361540.1241293
,202307141206112,42,,202307141204438,49,,202307141204365,1689361587.2937882,1689361587.2962399,1689361571.2691152
,202307141206424,42,,202307141204438,50,202307141206564,202307141206565,1689361618.5121565,1689361616.4374325,1689361602.4178169
,202307141207036,43,202307141207076,202307141207077,50,,202307141206565,1689361627.641729,1689361639.721232,1689361623.6325898
,202307141207298,44,202307141207308,202307141207308,51,202307141207379,202307141207379,1689361650.8318877,1689361657.901304,1689361649.829429
,202307141207430,44,,202307141207308,51,,202307141207379,1689361679.0912344,1689361679.0928435,1689361663.0691342
,202307141208142,45,202307141208152,202307141208152,51,,202307141207379,1689361695.2232819,1689361710.303569,1689361694.2198367
,202307141208404,45,,202307141208152,51,,202307141207379,1689361736.4461746,1689361736.4481716,1689361720.424115
,202307141209115,45,,202307141208152,52,202307141209186,202307141209186,1689361767.68396,1689361758.607304,1689361751.5979254
,202307141209328,46,202307141209338,202307141209338,52,,202307141209186,1689361773.8109283,1689361788.894827,1689361772.8073049
,202307141209590,47,202307141210000,202307141210000,53,202307141210000,202307141210001,1689361800.0184524,1689361800.0824666,1689361799.0145693
,202307141210052,48,202307141210062,202307141210062,54,202307141210062,202307141210063,1689361806.2322803,1689361806.2966182,1689361805.2286687
,202307141210114,49,202307141210124,202307141210125,55,202307141210125,202307141210126,1689361812.4817832,1689361812.545142,1689361811.4783945
,202307141210177,50,202307141210187,202307141210187,56,202307141210187,202307141210188,1689361818.7123075,1689361818.775645,1689361817.7088997
,202307141210239,50,,202307141210187,57,202307141210339,202307141210340,1689361840.0171137,1689361833.9380095,1689361823.9242866
,202307141210451,50,,202307141210187,58,202307141210461,202307141210462,1689361861.2285166,1689361846.147681,1689361845.1441908
,202307141211063,50,,202307141210187,59,202307141211073,202307141211074,1689361882.4207337,1689361867.3365629,1689361866.3332129
,202307141211275,50,,202307141210187,60,202307141211285,202307141211286,1689361903.6310308,1689361888.542891,1689361887.5394714
,202307141211487,50,,202307141210187,61,202307141211497,202307141211498,1689361924.8466375,1689361909.76238,1689361908.758989
,202307141212099,50,,202307141210187,61,,202307141211498,1689361945.9908764,1689361945.9921145,1689361929.9693186
,202307141212410,50,,202307141210187,62,202307141212421,202307141212421,1689361977.1841013,1689361962.1009958,1689361961.0975275
,202307141213023,50,,202307141210187,62,,202307141212421,1689361998.327183,1689361998.3294694,1689361982.30472
,202307141213334,50,,202307141210187,63,202307141213344,202307141213345,1689362029.546581,1689362014.4650884,1689362013.4611902
,202307141213546,51,202307141214057,202307141214058,64,202307141213556,202307141213557,1689362045.748036,1689362035.672305,1689362034.6687326
,202307141214109,52,202307141214119,202307141214119,65,202307141214189,202307141214190,1689362051.919916,1689362058.9921305,1689362050.9163692
,202307141214241,53,202307141214282,202307141214283,66,202307141214251,202307141214252,1689362068.2402322,1689362065.1714747,1689362064.1676188
,202307141214334,54,202307141214344,202307141214344,67,202307141214354,202307141214355,1689362074.4108953,1689362075.474912,1689362073.4076385
,202307141214406,55,202307141214416,202307141214417,68,202307141214437,202307141214437,1689362081.6421435,1689362083.7079048,1689362080.6382525
,202307141214488,55,,202307141214417,68,,202307141214437,1689362104.8982527,1689362104.9002411,1689362088.8761957
,202307141215200,56,202307141215260,202307141215261,68,,202307141214437,1689362126.0435264,1689362136.1293297,1689362120.0336745
,202307141215462,56,,202307141215261,68,,202307141214437,1689362162.2720592,1689362162.274215,1689362146.2497902
,202307141216174,56,,202307141215261,68,,202307141214437,1689362193.42666,1689362193.4290347,1689362177.4020207
,202307141216485,56,,202307141215261,68,,202307141214437,1689362224.5950096,1689362224.5976117,1689362208.5732641
,202307141217197,56,,202307141215261,68,,202307141214437,1689362255.7483099,1689362255.7496724,1689362239.7239664
,202307141217508,56,,202307141215261,68,,202307141214437,1689362286.9137743,1689362286.915733,1689362270.8918989
,202307141218220,57,202307141218230,202307141218231,69,202307141218321,202307141218321,1689362303.0510628,1689362312.1251402,1689362302.0475166
,202307141218372,57,,202307141218231,69,,202307141218321,1689362333.3202345,1689362333.3217773,1689362317.2964766
,202307141219084,57,,202307141218231,69,,202307141218321,1689362364.4726367,1689362364.4741786,1689362348.449973
,202307141219396,58,202307141219406,202307141219406,69,,202307141218321,1689362380.6108232,1689362395.6994894,1689362379.6047454
,202307141220058,58,,202307141219406,70,202307141220068,202307141220068,1689362421.908979,1689362406.8262715,1689362405.823066
,202307141220270,58,,202307141219406,71,202307141220300,202307141220300,1689362443.1081245,1689362430.0268087,1689362427.0208132
,202307141220482,59,202307141221012,202307141221013,71,,202307141220300,1689362461.2429833,1689362464.3135355,1689362448.2259922
,202307141221144,60,202307141221174,202307141221174,71,,202307141220300,1689362477.431794,1689362490.5116677,1689362474.425996
,202307141221406,61,202307141221416,202307141221417,72,202307141221467,202307141221467,1689362501.6418996,1689362506.710789,1689362500.6386235
,202307141221518,61,,202307141221417,72,,202307141221467,1689362527.902347,1689362527.903975,1689362511.878354
,202307141222230,61,,202307141221417,73,202307141222240,202307141222240,1689362559.107954,1689362544.0247884,1689362543.021433
,202307141222442,61,,202307141221417,74,202307141222462,202307141222463,1689362580.3182364,1689362566.2346723,1689362564.22994
,202307141223054,61,,202307141221417,74,,202307141222463,1689362601.4549184,1689362601.4564486,1689362585.4332936
,202307141223365,62,202307141223485,202307141223486,74,,202307141222463,1689362628.599344,1689362632.6724958,1689362616.5823338
,202307141224028,63,202307141224048,202307141224049,75,202307141224038,202307141224038,1689362644.8735318,1689362643.8077428,1689362642.804031
,202307141224100,64,202307141224110,202307141224111,76,202307141224151,202307141224151,1689362651.0533698,1689362655.1260166,1689362650.048098
,202307141224202,64,,202307141224111,77,202307141224212,202307141224213,1689362676.3687477,1689362661.2823956,1689362660.2789104
,202307141224414,64,,202307141224111,78,202307141224495,202307141224495,1689362697.5774677,1689362689.5013127,1689362681.4902616
,202307141225026,65,202307141225127,202307141225128,79,202307141225087,202307141225087,1689362712.7703145,1689362708.701102,1689362702.6917033
,202307141225179,66,202307141225199,202307141225200,79,,202307141225087,1689362719.942803,1689362734.025111,1689362717.9381936
,202307141225442,67,202307141225452,202307141225453,80,202307141225533,202307141225534,1689362745.2819757,1689362753.3537621,1689362744.278863
,202307141225585,67,,202307141225453,81,202307141225595,202307141225596,1689362774.6244009,1689362759.5423956,1689362758.5390418
,202307141226197,67,,202307141225453,81,,202307141225596,1689362795.7859924,1689362795.7882986,1689362779.7633102
,202307141226509,67,,202307141225453,81,,202307141225596,1689362826.9412339,1689362826.9433746,1689362810.9186637
,202307141227220,67,,202307141225453,82,202307141227321,202307141227321,1689362858.1748931,1689362852.1012414,1689362842.0864296
,202307141227432,67,,202307141225453,82,,202307141227321,1689362879.3152313,1689362879.3176813,1689362863.2930589
,202307141228144,68,202307141228154,202307141228155,83,202307141228155,202307141228156,1689362895.4983268,1689362895.5625432,1689362894.4943507
,202307141228207,69,202307141228307,202307141228308,83,,202307141228156,1689362910.755519,1689362916.828098,1689362900.742023
,202307141228469,69,,202307141228308,84,202307141228479,202307141228480,1689362943.0397093,1689362927.9560838,1689362926.9526699
,202307141229081,69,,202307141228308,85,202307141229091,202307141229092,1689362964.2447882,1689362949.1632533,1689362948.1600635
,202307141229293,69,,202307141228308,85,,202307141229092,1689362985.3496683,1689362985.3512318,1689362969.3259747
,202307141230004,70,202307141230034,202307141230035,85,,202307141229092,1689363003.4893882,1689363016.569937,1689363000.4846978
,202307141230266,70,,202307141230035,85,,202307141229092,1689363042.7216587,1689363042.723249,1689363026.6997104
,202307141230578,70,,202307141230035,85,,202307141229092,1689363073.9083872,1689363073.9104831,1689363057.885679
,202307141231290,70,,202307141230035,85,,202307141229092,1689363105.068448,1689363105.0699942,1689363089.0465164
